RefDes;Name;Pattern;Center X (mm);Center Y (mm);Side;Rotate;Value
C1;CAP_0603;CAP_0603;6.407;16.194;Top;0.0;10p
C2;CAP_0603;CAP_0603;9.741;16.194;Top;0.0;10p
C3;CAP_0603;CAP_0603;13.075;16.194;Top;0.0;10p
C4;CAP_0603;CAP_0603;16.409;16.194;Top;0.0;10p
C5;JR200;JR100;37.627;15.129;Top;270.0;4.5-20p
C6;CAP_0805;CAP_0805;31.118;14.45;Top;270.0;330p
C7;CAP_0603;CAP_0603;32.865;14.55;Top;270.0;22p
C8;CAP_0805;CAP_0805;34.766;14.449;Top;270.0;220p
C9;CAP_0402;CAP_0402;45.075;15.718;Top;180.0;0.2p +/- 0.05p
C10;JR200;JR100;37.627;9.956;Top;90.0;4.5-20p
C11;CAP_0805;CAP_0805;31.118;10.635;Top;90.0;330p
C12;CAP_0603;CAP_0603;32.865;10.535;Top;90.0;22p
C13;CAP_0805;CAP_0805;34.766;10.634;Top;90.0;220p
C14;CAP_0603;CAP_0603;6.407;8.891;Top;0.0;10p
C15;CAP_0603;CAP_0603;9.741;8.891;Top;0.0;10p
C16;CAP_0603;CAP_0603;13.075;8.891;Top;0.0;10p
C17;CAP_0603;CAP_0603;16.409;8.891;Top;0.0;10p
C18;CAP_0402;CAP_0402;43.804;8.415;Top;180.0;0.2p +/- 0.05p
C19;CAP_0402;CAP_0402;51.758;11.575;Top;270.0;0.5p
C20;CAPM_3.5x2.8h2.1;CAPM_3.5x2.8h2.1;62.093;8.096;Top;0.0;10u
C21;CAP_0603;CAP_0603;57.206;0.952;Bottom;0.0;1u
C22;CAP_0603;CAP_0603;57.206;5.08;Bottom;0.0;1u
C24;CAP_0402;CAP_0402;46.692;8.256;Top;0.0;4.7u
C25;CAP_0402;CAP_0402;46.692;9.208;Top;0.0;100p
C26;CAP_0402;CAP_0402;40.947;14.13;Top;180.0;100p
C27;CAP_0402;CAP_0402;56.536;10.002;Top;0.0;100p
C28;CAP_0402;CAP_0402;56.536;10.955;Top;0.0;100n
C29;CAP_0402;CAP_0402;53.822;15.892;Top;90.0;100n
C30;CAP_0402;CAP_0402;54.789;15.877;Top;90.0;100p
C31;CAP_0402;CAP_0402;56.536;9.05;Top;0.0;4.7u
C32;CAP_0805;CAP_0805;33.5;3.337;Top;270.0;100n
C34;CAP_0805;CAP_0805;40.327;4.448;Top;270.0;100n
C35;CAP_0805;CAP_0805;31.436;3.337;Top;270.0;1u
C36;CAP_0402;CAP_0402;46.692;10.161;Top;0.0;100n
C37;CAP_0402;CAP_0402;40.947;12.86;Top;180.0;100n
C38;CAPM_3.5x2.8h2.1;CAPM_3.5x2.8h2.1;28.101;3.313;Top;270.0;10u
D1;BAV199TP;SOT23;29.215;16.632;Top;270.0;
D2;BAV199TP;SOT23;29.21;8.453;Top;90.0;
J1;Probe Header;HDR-1x3T/2.54/special;1.588;12.542;Top;90.0;
J2;SMA Edge Connector;SMA Board Edge;62.14;13.684;Top;0.0;
L1;IND_FERRITE_BEAD;IND_0603;55.88;5.245;Top;90.0;
L2;IND_FERRITE_BEAD;IND_0603;59.207;1.429;Top;180.0;
L3;IND_FERRITE_BEAD;IND_0603;35.564;3.023;Top;90.0;
M1;BSS84;SOT23;61.502;3.604;Top;0.0;
R1;RES_0603;RES_0603;19.052;14.504;Top;90.0;36k
R2;RES_0603;RES_0603;6.407;13.813;Top;0.0;3.3Meg
R3;RES_0603;RES_0603;9.741;13.813;Top;0.0;3.3Meg
R4;RES_0603;RES_0603;13.075;13.813;Top;0.0;3.3Meg
R5;RES_0603;RES_0603;16.409;13.813;Top;0.0;62k
R6;RES_0603;RES_0603;21.375;13.653;Top;180.0;3k
R7;RES_0603;RES_0603;44.987;16.988;Top;0.0;3.92k
R8;RES_0603;RES_0603;52.393;15.979;Top;270.0;1.02k 0.1%
R9;RES_0603;RES_0603;57.212;13.654;Top;0.0;51
R10;RES_0603;RES_0603;49.909;14.765;Top;0.0;1.27k 0.1%
R11;3224J;3214J;26.45;12.581;Top;0.0;2K
R12;RES_0603;RES_0603;46.201;12.281;Top;90.0;412 0.1%
R13;RES_0603;RES_0603;21.331;11.431;Top;0.0;3k
R14;RES_0603;RES_0603;50.646;11.805;Top;90.0;1.27k 0.1%
R15;RES_0603;RES_0603;50.248;7.303;Bottom;0.0;1.2k
R16;RES_0603;RES_0603;6.407;11.272;Top;0.0;3.3Meg
R17;RES_0603;RES_0603;9.741;11.272;Top;0.0;3.3Meg
R18;RES_0603;RES_0603;13.075;11.272;Top;0.0;3.3Meg
R19;RES_0603;RES_0603;16.409;11.272;Top;0.0;62k
R20;RES_0603;RES_0603;19.052;10.535;Top;90.0;36k
R21;RES_0603;RES_0603;52.552;8.471;Top;90.0;1.02k 0.1%
R22;RES_0603;RES_0603;44.034;6.986;Top;0.0;3.92k 0.1%
R23;RES_0603;RES_0603;41.177;16.829;Top;0.0;1.5k
R24;RES_0603;RES_0603;40.859;8.256;Top;0.0;1.5k
R25;RES_0603;RES_0603;42.969;4.604;Top;180.0;10k
R26;RES_0603;RES_0603;42.969;2.223;Top;180.0;10k
R27;RES_0603;RES_0603;53.125;7.303;Bottom;180.0;2k
SG1;SparkGap;SparkGap;5.553;13.256;Bottom;270.0;
SG2;SparkGap;SparkGap;5.56;11.827;Bottom;90.0;
U1;LTC6269IMSE8-10;MSOP-8EP;43.797;12.089;Top;270.0;
U2;LTC6268IS6;SOT23-6;53.901;12.222;Top;270.0;
U3;LM7301;SOT23-5;37.784;2.62;Top;90.0;
U4;XC6216C;SOT89-5;51.523;3.705;Bottom;90.0;
